,current_combo,valid_train_start_date, valid_train_end_date,valid_end_date,oos_square
1990,"(17, 1, 15, 10, 'mi')",2004-02-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,-0.11439114391143912
1991,"(17, 1, 15, 10, 'mi')",2004-06-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,-0.0942698706099816
1992,"(17, 1, 15, 10, 'mi')",2004-10-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,0.15083798882681565
1993,"(17, 1, 15, 10, 'mi')",2005-02-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,-1.774436090225564
1994,"(17, 1, 15, 10, 'mi')",2006-01-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,-0.05384615384615388
1995,"(17, 1, 15, 10, '')",2004-02-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,-0.2767527675276753
1996,"(17, 1, 15, 10, '')",2004-06-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,-0.24214417744916816
1997,"(17, 1, 15, 10, '')",2004-10-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,0.1955307262569832
1998,"(17, 1, 15, 10, '')",2005-02-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,-1.7142857142857144
1999,"(17, 1, 15, 10, '')",2006-01-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,-0.0923076923076922
2000,"(16, 1, 10, 10, 'mi')",2005-03-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,0.6677966101694915
2001,"(16, 1, 10, 10, 'mi')",2006-05-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,0.07853403141361259
2002,"(16, 1, 10, 10, 'mi')",2007-07-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,0.3440285204991087
2003,"(16, 1, 10, 10, 'mi')",2008-09-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,0.5547445255474452
2004,"(16, 1, 10, 10, 'mi')",2011-02-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,0.34489402697495186
2005,"(16, 1, 10, 10, '')",2005-03-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,0.6203389830508474
2006,"(16, 1, 10, 10, '')",2006-05-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,0.05759162303664922
2007,"(16, 1, 10, 10, '')",2007-07-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,0.3796791443850267
2008,"(16, 1, 10, 10, '')",2008-09-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,0.5693430656934306
2009,"(16, 1, 10, 10, '')",2011-02-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,0.4065510597302505
2010,"(16, 1, 15, 10, 'mi')",2005-03-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,0.02621722846441943
2011,"(16, 1, 15, 10, 'mi')",2005-05-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,-0.6000000000000001
2012,"(16, 1, 15, 10, 'mi')",2005-07-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,0.4828897338403042
2013,"(16, 1, 15, 10, 'mi')",2005-09-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,-1.0229007633587788
2014,"(16, 1, 15, 10, 'mi')",2006-02-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,0.3063583815028902
2015,"(16, 1, 15, 10, '')",2005-03-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,-0.02621722846441954
